timestep,DEU,ITA,CHE
2014-01-01,8.13690610270635,2.4498378993511714,3.8148502893076683
2014-01-02,10.939126833883176,3.6979203250362205,6.168036774262512
2014-01-03,11.409940024303388,3.0895150926102404,5.267886254610111
2014-01-04,8.73169013714572,8.257284103580773,3.2899997109518884
2014-01-05,7.3167724208210005,11.014674968523257,3.7709687312851643
2014-01-06,11.960312948814478,2.5424189877537335,4.590493418434297
2014-01-07,11.733424048456651,1.7199394420390977,3.502689059572187
2014-01-08,10.131397970787207,1.9256176485482959,2.5313609545051885
2014-01-09,13.624290104923164,2.4351600740913493,6.56857595138901
2014-01-10,11.683129033328422,2.8541674941373754,1.3692617677017171
2014-01-11,9.368213297178428,1.6402500490111558,2.2244319830008092
2014-01-12,7.4187044328094665,1.215970748140422,1.4893024592098774
2014-01-13,5.534292744832784,1.6494475237053854,1.7554059487242122
2014-01-14,2.4496741317421726,6.036125003545349,1.3188254473490708
2014-01-15,4.947404287127649,2.733394281546931,1.801530951698072
2014-01-16,7.798468851885061,3.9292131168920945,4.027880702555261
2014-01-17,6.947593234064065,9.905578037271383,1.641875930594745
2014-01-18,6.166909936656377,9.8008709121257,3.3268519730861073
2014-01-19,7.341710645608148,9.944994884128079,2.028630836479359
2014-01-20,4.101028935485836,7.703902226206211,1.5604794717963815
2014-01-21,2.540021845082424,8.753228126658545,1.783082423211727
2014-01-22,3.255056962616046,4.828142389095147,0.9224651271387738
2014-01-23,5.525311051262453,3.2309436662055444,3.0685602990907483
2014-01-24,5.910164475634031,10.1726255178679,3.311454353142236
2014-01-25,5.494190611559463,10.616866030710309,2.3110984170848075
2014-01-26,9.49042948372429,8.786749159722032,9.78955449737204
2014-01-27,8.181279601464041,6.558354809337657,5.293444238948473
2014-01-28,6.270360613875782,7.283163924502345,1.5705077613977363
2014-01-29,7.676376508968365,6.636733042861449,3.0147319869720475
2014-01-30,6.588055417779505,11.839817749615424,1.7467578644134305
2014-01-31,4.710707750006996,10.385345347000323,1.2871953588487508
2014-02-01,8.92027854629547,8.380643046762662,3.1306730372834237
2014-02-02,4.114440151575791,6.9366865822426025,0.9952312470626334
2014-02-03,4.926537929690366,7.619437529492865,2.4117733478838344
2014-02-04,5.893195902594282,4.4419382232275515,1.82987290042292
2014-02-05,8.35607338891043,6.632048029773853,6.673097863071653
2014-02-06,11.40560175550764,6.350225817330487,5.889734828307218
2014-02-07,15.833617348803951,7.395835471638836,7.760008006419516
2014-02-08,12.082968187161601,7.872697444968617,5.651078835295728
2014-02-09,13.51082305106621,11.805276302062698,7.741465681021019
2014-02-10,7.628801386779323,11.24181232729937,6.967691995090754
2014-02-11,9.674143339655531,7.005169259480898,2.0111045367231717
2014-02-12,9.42133249229477,6.635248389962527,4.15673628922236
2014-02-13,11.785771875185672,7.702055396879437,10.543979903002281
2014-02-14,10.64955847780833,7.044684190516613,5.226004556975938
2014-02-15,14.38407810186201,4.651982906758665,6.590171535756633
2014-02-16,13.102425164702641,6.581471287109167,1.5880738470804814
2014-02-17,4.496389407944207,6.9783304252002045,0.7557233289271131
2014-02-18,5.509493311383111,7.771803693813519,1.9927393945941718
2014-02-19,6.3739130318204325,8.3321912478645,1.1296074212841234
2014-02-20,7.38249637662426,4.793770888884875,1.442876560936472
2014-02-21,8.920053856142141,3.221206149261559,3.2182791681307488
2014-02-22,7.098965960177963,6.332342265422756,2.550025098843494
2014-02-23,6.471056499345219,5.450360291505705,1.2864795859102789
2014-02-24,8.607020201783484,3.3919573667680045,2.408778726557455
2014-02-25,7.378212917356915,2.039475048253371,2.425318937437083
2014-02-26,3.076982328861075,4.020758570556487,1.3791201183102264
2014-02-27,4.5949644682001,2.8918402495738795,2.8824094274653875
2014-02-28,4.245170653588067,6.039037497878495,3.8336318837900545
2014-03-01,2.7780513796848747,9.935145543150925,0.9624096631917567
2014-03-02,3.5390221703970366,4.010096820001193,1.8483039630058011
2014-03-03,6.660296070627312,5.418066240257224,2.8079551030666536
2014-03-04,1.6646409196939012,9.944883798411789,1.464699256046197
2014-03-05,2.6838383823624437,6.53872991500575,2.658942433886852
2014-03-06,2.998951548808956,9.189734427409581,4.016120507618657
2014-03-07,4.360256506047259,6.3603813710160075,1.1135200803894192
2014-03-08,5.5151774472668835,7.844767598899347,4.290221894038802
2014-03-09,8.426554121151117,7.385529374112151,1.4917164713006852
2014-03-10,5.126196390373108,6.285808980282304,1.5855245640705513
2014-03-11,6.598470611942315,4.382196215266349,3.9311065624123818
2014-03-12,4.097481276743604,2.809107441489074,1.2360100241959509
2014-03-13,2.4397821355528673,2.771816114959594,0.5472255035980745
2014-03-14,4.160744014552405,2.650772705914197,0.5460232891990433
2014-03-15,16.134317069397152,3.987330221336001,5.4522477152603885
2014-03-16,17.274369724788812,4.354314725830725,4.622223349477955
2014-03-17,11.326407029697961,3.818009649729189,1.4961814428058875
2014-03-18,8.357147584181218,4.108653896199961,3.529133888429379
2014-03-19,14.179823810202526,3.675128491441323,2.7102945911753342
2014-03-20,10.441528643944146,3.344877654347922,4.815417514560998
2014-03-21,11.304330479701319,2.4293822987584943,4.865665853313738
2014-03-22,6.617395606091458,6.402742444510963,3.3590508904683634
2014-03-23,3.6354759080760632,12.695228975011892,3.5832382898152804
2014-03-24,2.3751396293706035,10.12039168024924,1.86279642380239
2014-03-25,2.1571093379606108,4.596629241093001,1.0217057202125137
2014-03-26,5.060759758921931,6.897047200645716,1.5768878259857175
2014-03-27,7.669244157624924,10.70306144624401,0.9221985927649374
2014-03-28,5.812999952166911,5.4369105717659165,0.5540929171700134
