utc_timestamp,DEU,ITA,CHE
2014-01-01,-1113.4845363,-614.2500000000001,-139.74599999999998
2014-01-02,-1384.6402062,-766.616,-146.394
2014-01-03,-1422.4494847,-782.5989999999999,-154.958
2014-01-04,-1310.3391752,-739.373,-148.425
2014-01-05,-1218.9855669,-685.5310000000001,-137.42700000000002
2014-01-06,-1451.7546391,-676.116,-163.208
2014-01-07,-1576.5463917,-890.7110000000001,-155.94400000000005
2014-01-08,-1598.3484535,-935.614,-152.92599999999996
2014-01-09,-1620.8185565999997,-946.336,-153.61300000000003
2014-01-10,-1600.425773,-939.838,-155.70600000000002
2014-01-11,-1392.2051547000003,-806.921,-141.41
2014-01-12,-1282.0907214,-707.9970000000001,-138.84
2014-01-13,-1631.7494845000003,-914.3069999999998,-162.50399999999996
2014-01-14,-1646.6752577000002,-962.4139999999995,-164.77899999999997
2014-01-15,-1641.6329898999998,-960.9940000000001,-162.01599999999996
2014-01-16,-1657.5298968000002,-971.075,-162.81399999999996
2014-01-17,-1620.2443299000001,-971.5179999999998,-161.79999999999995
2014-01-18,-1395.3144333,-827.0149999999999,-145.034
2014-01-19,-1294.6536084999998,-727.9780000000001,-139.811
2014-01-20,-1639.8835050999999,-913.5699999999999,-160.487
2014-01-21,-1675.0577318,-951.693,-161.331
2014-01-22,-1675.4175257,-959.634,-162.83900000000003
2014-01-23,-1681.8278351,-964.503,-164.448
2014-01-24,-1667.4340205,-970.9749999999999,-164.353
2014-01-25,-1442.3958766000003,-846.7090000000003,-152.895
2014-01-26,-1343.0257731000004,-743.151,-144.983
2014-01-27,-1662.0752578000001,-933.5629999999999,-164.89199999999994
2014-01-28,-1687.3721649000004,-979.1840000000001,-167.58699999999996
2014-01-29,-1711.2989694000003,-994.064,-167.875
2014-01-30,-1702.6072164999998,-991.3590000000005,-167.70400000000004
2014-01-31,-1654.9123712000003,-980.062,-166.51800000000003
2014-02-01,-1434.4639179000003,-829.4340000000002,-152.56599999999997
2014-02-02,-1304.5525773,-726.6059999999999,-145.672
2014-02-03,-1647.9907216999998,-918.6619999999999,-164.12599999999995
2014-02-04,-1667.8340206999999,-959.947,-163.89800000000002
2014-02-05,-1673.4443299000002,-969.2989999999999,-168.55599999999998
2014-02-06,-1647.4010307,-958.0450000000001,-163.17699999999996
2014-02-07,-1625.7010311000001,-964.509,-164.99499999999998
2014-02-08,-1408.0546394,-826.0479999999999,-151.468
2014-02-09,-1290.8319585000004,-725.9969999999998,-141.45000000000002
2014-02-10,-1626.1113401999999,-927.0030000000002,-161.019
2014-02-11,-1649.675258,-953.507,-157.33200000000005
2014-02-12,-1646.5175256000002,-960.8209999999999,-157.68300000000002
2014-02-13,-1651.9329897000002,-964.633,-160.084
2014-02-14,-1618.7762887000001,-946.2160000000001,-158.053
2014-02-15,-1389.1783507000005,-810.4519999999999,-140.173
2014-02-16,-1275.9319586999998,-708.187,-143.549
2014-02-17,-1596.5402060000004,-887.321,-155.852
2014-02-18,-1631.8886599,-929.4739999999999,-157.573
2014-02-19,-1637.7340208,-943.281,-160.957
2014-02-20,-1612.7226802999999,-941.039,-154.70600000000002
2014-02-21,-1597.9309277,-938.5609999999999,-158.78199999999995
2014-02-22,-1372.1226803,-801.981,-141.92300000000003
2014-02-23,-1244.0164946000004,-701.909,-138.811
2014-02-24,-1568.1268039999995,-875.418,-156.161
2014-02-25,-1600.9536081,-922.057,-153.87499999999997
2014-02-26,-1603.1319589000002,-937.893,-154.78100000000003
2014-02-27,-1601.5051546000002,-929.5789999999998,-153.501
2014-02-28,-1571.8721648000003,-925.0559999999998,-151.157
2014-03-01,-1351.4051545999998,-810.4350000000002,-137.23700000000002
2014-03-02,-1242.6618554,-704.5930000000001,-139.54
2014-03-03,-1525.1144328,-890.5370000000001,-158.175
2014-03-04,-1568.9463915999997,-928.6199999999999,-159.357
2014-03-05,-1598.9113401,-938.719,-157.978
