timestep,DEU,ITA
2014-01-01,16.596787273630067,4.979083756016452
2014-01-02,18.414382407005,5.405225743855106
2014-01-03,19.30675755419306,4.395837201271627
2014-01-04,18.647647394809663,10.468924358197937
2014-01-05,14.290462835464155,18.28350677280165
2014-01-06,20.690840191980932,5.723994170838228
2014-01-07,21.581490114968386,4.290860630866952
2014-01-08,19.598210841052463,3.7891977062669975
2014-01-09,19.711457726646863,3.3524317260439607
2014-01-10,20.96799746994926,3.747586115932222
2014-01-11,19.893354266787327,3.497841302806317
2014-01-12,14.896439791095863,1.9253481058799773
2014-01-13,14.63027588058193,2.412001794690657
2014-01-14,7.944274459381554,8.772493868270196
2014-01-15,12.822281576803947,5.7660589982020385
2014-01-16,16.745783368465492,6.056082851977565
2014-01-17,14.043645012098867,13.774074791929596
2014-01-18,14.656054899646973,15.88830098380592
2014-01-19,21.78236797930425,15.919339959239517
2014-01-20,14.085949717296224,16.699404406634656
2014-01-21,10.091150355075936,19.14023073559003
2014-01-22,15.828854233970542,9.934184529890194
2014-01-23,18.79011311190783,6.673308796624106
2014-01-24,18.62542010288619,17.75587236387464
2014-01-25,19.464888650698406,17.456351869303322
2014-01-26,18.480710569023913,15.31292030988081
2014-01-27,15.952455521765685,12.505317164342639
2014-01-28,18.575169158004478,15.694587829866553
2014-01-29,19.255680078439067,12.4101907346851
2014-01-30,15.826351129306955,18.15259111282507
2014-01-31,14.484642323192562,15.550276299231415
2014-02-01,19.310827656134286,12.050981815153856
2014-02-02,15.877050968672926,14.500899662870145
2014-02-03,11.905904011468769,12.477290280331305
2014-02-04,14.055472687822771,7.919312452526572
2014-02-05,16.679461285977002,9.324026266584664
2014-02-06,19.046611773263205,11.898267562467058
2014-02-07,20.627157600876245,9.816958865095957
2014-02-08,20.298342764766137,13.188216963689248
2014-02-09,21.184575397348645,15.03834334812371
2014-02-10,11.62857593310898,15.550436706154741
2014-02-11,12.077385852814738,15.640343387516202
2014-02-12,18.2187917650047,13.984049654770553
2014-02-13,17.78909234018109,10.75905798530097
2014-02-14,17.07753785493385,12.013935833589713
2014-02-15,20.787107359028035,6.122906327755109
2014-02-16,21.820519793844532,8.530149572580989
2014-02-17,10.782329443693605,8.57754362300285
2014-02-18,11.762775136876312,14.942777910031941
2014-02-19,9.474216979466586,12.890735459678197
2014-02-20,15.80110351327735,9.625312106114288
2014-02-21,15.352704634612609,7.909222339178992
2014-02-22,18.03431572646187,9.57071432609031
2014-02-23,18.95057065381194,8.367615227628052
2014-02-24,17.414925622628285,4.419919468840587
2014-02-25,15.561925365351719,2.444592673707595
2014-02-26,9.920970756731037,4.445259613785353
2014-02-27,13.10751399808928,4.833598838775994
2014-02-28,3.318957986486384,9.489875194908262
2014-03-01,5.211094505980854,14.986664342688549
2014-03-02,11.900589650777649,8.693893986311782
2014-03-03,14.864798599421738,11.788899835628053
2014-03-04,3.7253290313641343,17.401348756087803
2014-03-05,3.1133834610505446,11.21786849203941
2014-03-06,12.751028222322024,10.221780485909468
2014-03-07,17.642391396912156,8.039672690531527
2014-03-08,11.242745191742296,9.18385317415315
2014-03-09,15.675805282999455,7.618157558891899
2014-03-10,12.914568194503076,5.61407448224258
2014-03-11,6.665640230956043,3.4591119474950816
2014-03-12,2.257151350309046,3.9737129885530895
2014-03-13,4.840733980977157,5.94405809552889
