time,DEU,ITA,CHE
2014-01-01,18.168366058476288,7.607494221773955,3.037333767602845
2014-01-02,18.034192691012358,7.890294446678574,3.381745073706164
2014-01-03,17.867763618731573,7.97722622577848,3.255334275665905
2014-01-04,18.394134878187376,12.468428190607064,4.213967280334048
2014-01-05,17.999708461581953,13.997575448166499,3.726407884736603
2014-01-06,17.594690947679265,8.325967576096717,3.068892386360653
2014-01-07,17.449303278660615,8.300289224088823,3.0480616573389043
2014-01-08,17.727250560405498,8.43822334647818,3.1191871812294885
2014-01-09,17.533844717913574,8.653422605184184,3.0743806693847024
2014-01-10,17.91814692426974,8.707332322787002,3.3591295534465573
2014-01-11,17.49255694904485,8.62960827907809,3.074880538911844
2014-01-12,17.387258944538125,8.43344357504908,2.879373082950397
2014-01-13,17.25950840590921,8.866878444173043,3.127921131684702
2014-01-14,17.54756186420344,12.615670378944259,3.6182966004138373
2014-01-15,17.340574892684007,8.540592324326335,2.7857479811033374
2014-01-16,17.411037859236306,8.738553474226224,3.3156714522007458
2014-01-17,17.402497773497146,12.296228745189513,3.312305101525114
2014-01-18,17.39358544352692,12.854371258555336,3.2035064203661974
2014-01-19,17.15140199190069,15.88915089638367,3.4385510861874757
2014-01-20,17.33256063990871,13.951932154675408,3.424909190097154
2014-01-21,17.209068719856447,12.923509631248244,3.2460549327047112
2014-01-22,17.21243188360617,12.238628714572254,2.9846795979500556
2014-01-23,16.890349140324794,11.850717095721878,2.9861456351399727
2014-01-24,16.790452247550324,13.837240082313011,2.942136349734631
2014-01-25,16.679988911393007,11.564746844652662,2.86697698459227
2014-01-26,16.484598630261996,10.9272573497048,2.8823508140830834
2014-01-27,16.649923680091185,11.608272879994278,3.0130577910284573
2014-01-28,16.543998608316056,11.07447277592858,2.7008156074119913
2014-01-29,16.405893462784555,10.929911400304228,2.6931722204503448
2014-01-30,16.401550852376328,13.350882013476024,2.7581895908732155
2014-01-31,16.454977177945576,14.46313248305667,2.7689073360176666
2014-02-01,16.603181195671077,15.127516128770285,2.944186769482099
2014-02-02,16.36987789992534,15.493860293981024,2.992355241709174
2014-02-03,16.32809081652495,17.624366085119096,3.1977434679490893
2014-02-04,16.422992279470723,16.607545154747232,3.230441062696058
2014-02-05,16.193639452732057,16.013761784556937,3.4251861690561074
2014-02-06,16.14105693489759,15.267261173166201,3.90115733123468
2014-02-07,16.469422378603863,15.470441167621104,3.631075629273961
2014-02-08,16.119685384774307,14.989429426021024,3.0742471945483527
2014-02-09,15.922948815586613,15.144543346704648,2.8296442108540525
2014-02-10,15.981960764939807,15.805367679026828,3.2124107116349645
2014-02-11,16.139857114184466,15.32400449512845,2.8211453656478858
2014-02-12,15.62445373250282,14.899118845336274,2.659019423974967
2014-02-13,16.181726837419895,14.75058572622629,3.431681613220344
2014-02-14,15.791172923432326,14.399834308875901,2.658651239536359
2014-02-15,16.219026316053238,14.419252804173782,3.459326184348442
2014-02-16,16.16684479258227,15.860885004972893,3.153408670678063
2014-02-17,15.990453949590906,15.90347140274335,2.9766109463673467
2014-02-18,15.651518723698192,14.661105772695164,2.8651522198303123
2014-02-19,15.992002118710971,16.942534877807237,3.0702228989861724
2014-02-20,15.728011960498666,14.209560232922705,2.855590712772031
2014-02-21,15.968641873981468,14.353087360764288,3.340813917967169
2014-02-22,15.4818217164884,14.617313722835146,2.882080625285867
2014-02-23,15.485124735237672,13.756849247144766,2.8669766499092297
2014-02-24,15.408809311533716,13.558471880636233,2.923195139228199
2014-02-25,15.289503791052502,13.399645753382018,2.808614651779542
2014-02-26,15.624990831534557,14.620440430141924,3.517202607331614
2014-02-27,15.709498743873114,13.702446623076499,3.0447310426007057
2014-02-28,15.496210997350266,13.94573880143677,3.0034333059325973
2014-03-01,15.363145168119472,16.091377171871915,3.301589866375959
2014-03-02,15.657212659863731,14.076478414501624,2.995068027417033
2014-03-03,15.31619704961771,14.293351997656757,3.062032895984305
2014-03-04,15.651611178324822,14.466371045736828,3.1137998492353
2014-03-05,15.682069002405882,13.69729885156345,2.995152535289375
2014-03-06,15.407376025360572,13.620439747022777,2.834156618145731
2014-03-07,15.190887118776855,13.937449159096918,2.8724090687473716
2014-03-08,15.432989119221123,13.990001618662797,2.9455303603998746
2014-03-09,15.006962126945501,13.962770078198323,2.8465446127846836
2014-03-10,15.15356815721271,13.785856442460942,2.8954860802010205
2014-03-11,15.131400785557856,13.8566514193915,2.7457541034556225
2014-03-12,15.18410337974241,14.108966269340877,2.854622906274773
2014-03-13,15.351139701985838,14.023794968111147,2.8159070938810786
2014-03-14,15.1951127065914,14.139801938674628,2.80095058325247
2014-03-15,15.733554136483901,14.036885770609047,3.0222290870354964
2014-03-16,15.425342610634425,14.520059186493983,2.969193113622937
2014-03-17,15.06612537087524,14.599843897181705,3.00760678111095
2014-03-18,15.261488858342187,14.702285070809623,3.150331002101175
2014-03-19,15.230175114192372,15.125263006957589,3.518425667742436
2014-03-20,14.927354268087417,14.661620538151203,3.319502763865308
2014-03-21,14.829960444413972,15.271827709908965,3.53735814160316
2014-03-22,15.333246429048538,18.241044917089344,4.726256654299626
2014-03-23,15.354311746741862,17.35432496444017,3.2646722192902207
2014-03-24,15.073863415242117,13.596966632844,2.7356293967358716
2014-03-25,14.853762727637672,13.341742548659127,2.6445335455375343
2014-03-26,14.889692955197091,13.467882787089502,2.61130941554494
2014-03-27,15.03767673425699,13.511627010116737,2.6119697672685813
2014-03-28,14.998316781605208,13.703150671497514,2.6163994965881328
2014-03-29,14.97837183538553,13.974937757291272,2.6560219613538014
